10097	58
10099	59
10105	60



10031	31
10108	
10109	
10112	
10113	
10117	
10120	
10123	
10124	
10129	
10130	
10131	
10132	
10134	
10135	
10136	
10139	
10144	
10147	
10150	
10151	
10153	
10155	
10157	
10158	
10159	
10164	
10165	
10169	
10171	
10175	
10177	
10178	
10179	
10181	
10183	
10184	
10186	
10187	
10198	
10199	
10201	
10202	
10207	
10210	
10212	
10213	
10214	
10216	
10217	
10219	
10228	
10230	
10231	
10232	
10234	
10240	
10241	
10243	
10245	
10246	
10247	
10248	
10250	
10251	
10255	
10259	
10261	
10262	
10265	
10269	
10271	
10273	
10276	
10277	
10278	
10280	
10285	
10288	
10303	
10304	
10306	
10307	
10308	
10312	
10316	
10317	
10320	
10329	
10331	
10332	
10335	
10337	
10342	
10349	
10350	
10351	
10353	
10354	
10356	
10369	
10373	
10394	
10397	
10400	
10401	
10429	
10433	
10439	
10465	
10468	
10478	
10482	
10496	
10502	
10515	
10520	
10533	
10539	
10541	
10574	
10600	
10606	
10626	
10637	
10664	
10672	
10679	
10701	
10702	
10710	
10721	
10724	

